Konum_km,Hiz_kmh,Kutle_Ton,Cer_Kuvveti_kN,Direnc_kN,Egim_Yuzde
2.9917,90,624.25,15.616535,15.616535,0
3.0042,90,624.25,15.616535,15.616535,0
3.0167,90,624.25,15.616535,15.616535,0
3.0292,90,624.25,15.616535,15.616535,0
3.0417,90,624.25,15.616535,15.616535,0
3.0542,90,624.25,15.616535,15.616535,0
3.0667,90,624.25,15.616535,15.616535,0
3.0792,90,624.25,15.616535,15.616535,0
3.0917,90,624.25,15.616535,15.616535,0
3.1042,90,624.25,15.616535,15.616535,0
3.1167,90,624.25,15.616535,15.616535,0
3.1292,90,624.25,15.616535,15.616535,0
3.1417,90,624.25,15.616535,15.616535,0
3.1542,90,624.25,15.616535,15.616535,0
3.1667,90,624.25,15.616535,15.616535,0
3.1792,90,624.25,15.616535,15.616535,0
3.1917,90,624.25,15.616535,15.616535,0
3.2042,90,624.25,15.616535,15.616535,0
3.2167,90,624.25,15.616535,15.616535,0
3.2292,90,624.25,15.616535,15.616535,0
3.2417,90,624.25,15.616535,15.616535,0
3.2542,90,624.25,15.616535,15.616535,0
3.2667,90,624.25,15.616535,15.616535,0
3.2792,90,624.25,15.616535,15.616535,0
3.2917,90,624.25,15.616535,15.616535,0
3.3042,90,624.25,15.616535,15.616535,0
3.3167,90,624.25,15.616535,15.616535,0
3.3292,90,624.25,15.616535,15.616535,0
3.3417,90,624.25,15.616535,15.616535,0
3.3542,90,624.25,15.616535,15.616535,0
3.3667,90,624.25,15.616535,15.616535,0
3.3792,90,624.25,15.616535,15.616535,0
3.3917,90,624.25,15.616535,15.616535,0
3.4042,90,624.25,15.616535,15.616535,0
3.4167,90,624.25,15.616535,15.616535,0
3.4292,90,624.25,15.616535,15.616535,0
3.4417,90,624.25,15.616535,15.616535,0
3.4542,90,624.25,15.616535,15.616535,0
3.4667,90,624.25,15.616535,15.616535,0
3.4792,90,624.25,15.616535,15.616535,0
3.4917,90,624.25,15.616535,15.616535,0
3.5042,90,624.25,15.616535,15.616535,0
3.5167,90,624.25,15.616535,15.616535,0
3.5292,90,624.25,15.616535,15.616535,0
3.5417,90,624.25,15.616535,15.616535,0
3.5542,90,624.25,15.616535,15.616535,0
3.5667,90,624.25,15.616535,15.616535,0
3.5792,90,624.25,15.616535,15.616535,0
3.5917,90,624.25,15.616535,15.616535,0
3.6042,90,624.25,15.616535,15.616535,0
3.6167,90,624.25,15.616535,15.616535,0
3.6292,90,624.25,15.616535,15.616535,0
3.6417,90,624.25,15.616535,15.616535,0
3.6542,90,624.25,15.616535,15.616535,0
3.6667,90,624.25,15.616535,15.616535,0
3.6792,90,624.25,15.616535,15.616535,0
3.6917,90,624.25,15.616535,15.616535,0
3.7042,90,624.25,15.616535,15.616535,0
3.7167,90,624.25,15.616535,15.616535,0
3.7292,90,624.25,15.616535,15.616535,0
3.741475,88.38,624.25,0,15.496351475,0
3.753525,86.76,624.25,0,15.3783509,0
3.76535,85.14,624.25,0,15.262533275,0
3.77695,83.52,624.25,0,15.1488986,0
3.788325,81.9,624.25,0,15.037446875,0
3.799475,80.28,624.25,0,14.9281781,0
3.8104,78.66,624.25,0,14.821092275,0
3.8211,77.04,624.25,0,14.7161894,0
3.831575,75.42,624.25,0,14.613469475,0
3.841825,73.8,624.25,0,14.5129325,0
3.85185,72.18,624.25,0,14.414578475,0
3.86165,70.56,624.25,0,14.3184074,0
3.871225,68.94,624.25,0,14.224419275,0
3.880575,67.32,624.25,0,14.1326141,0
3.8897,65.7,624.25,0,14.042991875,0
3.8986,64.08,624.25,0,13.9555526,0
3.907275,62.46,624.25,0,13.870296275,0
3.915725,60.84,624.25,0,13.7872229,0
3.92395,59.22,624.25,0,13.706332475,0
3.93195,57.6000000000001,624.25,0,13.627625,0
3.939725,55.9800000000001,624.25,0,13.551100475,0
3.947275,54.3600000000001,624.25,0,13.4767589,0
3.9546,52.7400000000001,624.25,0,13.404600275,0
3.9617,51.1200000000001,624.25,0,13.3346246,0
3.968575,49.5000000000001,624.25,0,13.266831875,0
3.975225,47.8800000000001,624.25,0,13.2012221,0
3.98165,46.2600000000001,624.25,0,13.137795275,0
3.98785,44.6400000000001,624.25,0,13.0765514,0
3.993825,43.0200000000001,624.25,0,13.017490475,0
3.999575,41.4000000000001,624.25,0,12.9606125,0
4.0051,39.7800000000001,624.25,0,12.905917475,0
4.0104,38.1600000000001,624.25,0,12.8534054,0
4.015475,36.5400000000001,624.25,0,12.803076275,0
4.020325,34.9200000000001,624.25,0,12.7549301,0
4.02495,33.3000000000001,624.25,0,12.708966875,0
4.02935,31.6800000000001,624.25,0,12.6651866,0
4.033525,30.0600000000001,624.25,0,12.623589275,0
4.037475,28.4400000000001,624.25,0,12.5841749,0
4.0412,26.8200000000001,624.25,0,12.546943475,0
4.0447,25.2000000000001,624.25,0,12.511895,0
4.047975,23.5800000000001,624.25,0,12.479029475,0
4.051025,21.9600000000001,624.25,0,12.4483469,0
4.05385,20.3400000000001,624.25,0,12.419847275,0
4.05645,18.7200000000001,624.25,0,12.3935306,0
4.058825,17.1000000000001,624.25,0,12.369396875,0
